Day,Adjusted price
1,8708.400391
2,8409.099609
3,8309.799805
4,8336.799805
5,8982.700195
6,8753
7,8454.599609
8,8407.400391
9,8434.700195
10,8274.400391
11,7792.899902
12,7888.200195
13,7914.399902
14,7965.5
15,7995.5
16,7474.799805
17,7431.200195
18,7200.899902
19,7179.399902
20,6778.299805
21,7030.399902
22,7094.5
23,6707.100098
24,6342.700195
25,6311.399902
26,6399.5
27,6443.100098
28,6232.600098
29,6128.700195
30,5793.600098
31,5688.700195
32,5699.299805
33,5989.100098
34,6223.799805
35,6282.600098
36,6443.700195
37,6778.700195
38,6757.5
39,6521
40,6585.600098
41,6656.600098
42,6404.5
43,6251.200195
44,6156.899902
45,6127.799805
46,5977
47,5926
48,5706.600098
49,5578.700195
50,5491.5
51,5789.600098
52,5833
53,5831
54,6036.600098
55,6093.299805
56,5830.399902
57,5860.399902
58,5848.899902
59,5801.799805
60,5685.5
61,5948.799805
62,6151.600098
63,6264.399902
64,6320.399902
65,6173
66,6204.899902
67,6251.100098
68,6307.700195
69,6391.600098
70,6285.100098
71,6231.5
72,6288.100098
73,6350.600098
74,6451.200195
75,6627.200195
76,6745.200195
77,6879
78,6762.299805
79,6692.299805
80,6653.899902
81,6686
82,6547.299805
83,6363.600098
84,6205
85,6249.600098
86,6215.5
87,6142.100098
88,6159.5
89,6167.100098
90,6088.100098
91,6256.200195
92,6258.600098
93,6423.799805
94,6272.600098
95,6250.799805
96,6052.399902
97,6130.799805
98,6321.799805
99,6391.200195
100,6561.700195
101,6659.700195
102,6495.700195
103,6496.299805
104,6501.899902
105,6526.399902
106,6461.899902
107,6265.700195
108,6245.799805
109,6217.899902
110,6008.799805
111,5919.299805
112,5905.799805
113,6042.200195
114,6123.799805
115,6049.100098
116,5860.5
117,5850.700195
118,6083.5
119,5935.399902
120,5831.600098
121,5769.799805
122,5954.799805
123,6026.700195
124,6061.799805
125,6162.5
126,6270.299805
127,6211.799805
128,6191.700195
129,6261.600098
130,6272.399902
131,6391.200195
132,6403.600098
133,6371.100098
134,6382.100098
135,6351.5
136,6224.299805
137,6373.899902
138,6541
139,6816.100098
140,6926.200195
141,6885.5
142,6720
143,6718.399902
144,6978.899902
145,7152.200195
146,7109.399902
147,7224.799805
148,7307.700195
149,7016.700195
150,6987.299805
151,7160
152,7181.5
153,7369.799805
154,7279.899902
155,7155.200195
156,7358
157,7529
158,7571.299805
159,7836.799805
160,7871.200195
161,7784.299805
162,7806.200195
163,7610.399902
164,7623.899902
165,7371.200195
166,7428.799805
167,7472.899902
168,7576.600098
169,7698.299805
170,7734
171,7512.399902
172,7541.5
173,7530
174,7588.100098
175,7518.299805
176,7572
177,7758.600098
178,7772.100098
179,7688.200195
180,7660.100098
181,7747.299805
182,7687.899902
183,7691.700195
184,7730
185,7754.399902
186,7691.399902
187,7493.5
188,7483.600098
189,7309.100098
190,7241.700195
191,7334.299805
192,7174.799805
193,7193
194,7320.899902
195,7343.299805
196,7386.299805
197,7477.200195
198,7414.600098
199,7506.700195
200,7374
201,7377
202,7320.399902
203,7318.5
204,7196.799805
205,7234
206,7184.399902
207,7278.799805
208,7411.100098
209,7572.299805
210,7554.100098
211,7580.700195
212,7580.600098
213,7742.600098
214,7794.100098
215,7887.200195
216,7938.399902
217,7876.899902
218,7731.200195
219,7762.600098
220,7934.600098
221,8000
222,8158.200195
223,8242.5
224,8266.099609
225,8377.599609
226,8421.5
227,8421
228,8302.700195
229,8351.900391
230,8483.700195
231,8515.799805
232,8274.099609
233,8354.5
234,8370.299805
235,8531.400391
236,8678.799805
237,8831.900391
238,8860.799805
239,8783.200195
240,8701.299805
241,8817.5
242,8619.700195
243,8519.900391
244,8604.799805
245,8745.900391
246,8936.5
247,9035.299805
248,9137.099609
249,9125.700195
250,9207.900391
251,9123.099609
252,9164.200195
253,9305.200195
254,9364.099609
255,9306.900391
256,9220.700195
257,9248.700195
258,9217
259,9093
260,9060.400391
261,9169.400391
262,9215.599609
263,9142.299805
264,9064.299805
265,8900
266,8982.5
267,9201.200195
268,9226.400391
269,9373.400391
270,9377.299805
271,9460.099609
272,9388.799805
273,9541.299805
274,9485.200195
275,9426.200195
276,9546.599609
277,9486.299805
278,9421
279,9318.900391
280,9323.700195
281,9186.099609
282,9141.299805
283,8849.5
284,8962.400391
285,8885.799805
286,8917.900391
287,8756.700195
288,8992.799805
289,9020.400391
290,9082.700195
291,9202.599609
292,9121
293,9226.599609
294,9295.900391
295,9373.700195
296,9523.299805
297,9401.200195
298,9431.099609
299,9236.900391
300,9167.599609
301,9270.099609
302,9181.200195
303,9170.799805
304,8880.5
305,9031.5
306,8918.400391
307,9135.099609
308,9169
309,9175.799805
310,9196
311,9173.299805
312,9031.799805
313,8919.5
314,8958.599609
315,9000.700195
316,9037.799805
317,9026.900391
318,9141.400391
319,9057.400391
320,8999.099609
321,9099.799805
322,9148.599609
323,9194.400391
324,9317.400391
325,9307.099609
326,9510.099609
327,9557.099609
328,9589.5
329,9630.400391
330,9689.099609
331,9726.400391
332,9603.5
333,9569.5
334,9568
335,9538.200195
336,9572.099609
337,9555.400391
338,9472.299805
339,9418.099609
340,9325.200195
341,9293.099609
342,9292.900391
343,9245.299805
344,9213.799805
345,9237.299805
346,9312.099609
347,9480.799805
348,9417.799805
349,9223.799805
350,9035.900391
351,9010.400391
352,9020
353,9064.299805
354,9127.900391
355,9053
356,9073
357,9176.299805
358,9329.900391
359,9385.299805
360,9431.400391
361,9441.700195
362,9387.900391
363,9359.200195
364,9226.900391
365,9344.400391
366,9479.799805
367,9598.700195
368,9612.200195
369,9665.299805
370,9774.700195
371,9786.400391
372,9774.700195
373,9865.299805
374,9854.400391
375,9941.599609
376,9879
377,9930
378,10008.5
379,10004.2002
380,10019.79981
381,9991.900391
382,10030.09961
383,10081.09961
384,10190.90039
385,10223.59961
386,10209.5
387,10186.09961
388,10165.29981
389,10309.5
390,10434
391,10420.09961
392,10379.5
393,10463.29981
394,10481.79981
395,10418.90039
396,10495.59961
397,10539.2002
398,10447.79981
399,10390.90039
400,10487.59961
401,10469.2002
402,10435.59961
403,10601.5
404,10690.09961
405,10470.09961
406,10299
407,10393
408,10366
409,10151.40039
410,9982.099609
411,9902.700195
412,9491.900391
413,10004.79981
414,9976.900391
415,10186.90039
416,10286
417,10022.90039
418,9932
419,9993.200195
420,9670.599609
421,9433.599609
422,9446.900391
423,9477.599609
424,9189.400391
425,9392.700195
426,9647.299805
427,9637.099609
428,9621.5
429,9660.400391
430,9801.200195
431,9599.900391
432,9477.700195
433,9356.200195
434,9487.200195
435,9609.700195
436,9662.599609
437,9795.400391
438,9880.299805
439,9860
440,9863.799805
441,9952.700195
442,9997.799805
443,9938.700195
444,9833.200195
445,9698.299805
446,9606.099609
447,9644.900391
448,9365.299805
449,9366.099609
450,9139.700195
451,9276.400391
452,9301.400391
453,9501.099609
454,9562.700195
455,9719.200195
456,9745.799805
457,9774.200195
458,9938.400391
459,9895.599609
460,9852.5
461,9775.299805
462,9726.5
463,9691.299805
464,9846.299805
465,10003.2002
466,10093.7002
467,10138.09961
468,10106.40039
