Day,Adjusted price
1,7506.700195
2,7374
3,7377
4,7320.399902
5,7318.5
6,7196.799805
7,7234
8,7184.399902
9,7278.799805
10,7411.100098
11,7572.299805
12,7554.100098
13,7580.700195
14,7580.600098
15,7742.600098
16,7794.100098
17,7887.200195
18,7938.399902
19,7876.899902
20,7731.200195
21,7762.600098
22,7934.600098
23,8000
24,8158.200195
25,8242.5
26,8266.099609
27,8377.599609
28,8421.5
29,8421
30,8302.700195
31,8351.900391
32,8483.700195
33,8515.799805
34,8274.099609
35,8354.5
36,8370.299805
37,8531.400391
38,8678.799805
39,8831.900391
40,8860.799805
41,8783.200195
42,8701.299805
43,8817.5
44,8619.700195
45,8519.900391
46,8604.799805
47,8745.900391
48,8936.5
49,9035.299805
50,9137.099609
51,9125.700195
52,9207.900391
53,9123.099609
54,9164.200195
55,9305.200195
56,9364.099609
57,9306.900391
58,9220.700195
59,9248.700195
60,9217
61,9093
62,9060.400391
63,9169.400391
64,9215.599609
65,9142.299805
66,9064.299805
67,8900
68,8982.5
69,9201.200195
70,9226.400391
71,9373.400391
72,9377.299805
73,9460.099609
74,9388.799805
75,9541.299805
76,9485.200195
77,9426.200195
78,9546.599609
79,9486.299805
80,9421
81,9318.900391
82,9323.700195
83,9186.099609
84,9141.299805
85,8849.5
86,8962.400391
87,8885.799805
88,8917.900391
89,8756.700195
90,8992.799805
91,9020.400391
92,9082.700195
93,9202.599609
94,9121
95,9226.599609
96,9295.900391
97,9373.700195
98,9523.299805
99,9401.200195
100,9431.099609
101,9236.900391
102,9167.599609
103,9270.099609
104,9181.200195
105,9170.799805
106,8880.5
107,9031.5
108,8918.400391
109,9135.099609
110,9169
111,9175.799805
112,9196
113,9173.299805
114,9031.799805
115,8919.5
116,8958.599609
117,9000.700195
118,9037.799805
119,9026.900391
120,9141.400391
121,9057.400391
122,8999.099609
123,9099.799805
124,9148.599609
125,9194.400391
126,9317.400391
127,9307.099609
128,9510.099609
129,9557.099609
130,9589.5
131,9630.400391
132,9689.099609
133,9726.400391
134,9603.5
135,9569.5
136,9568
137,9538.200195
138,9572.099609
139,9555.400391
140,9472.299805
141,9418.099609
142,9325.200195
143,9293.099609
144,9292.900391
145,9245.299805
146,9213.799805
147,9237.299805
148,9312.099609
149,9480.799805
150,9417.799805
151,9223.799805
152,9035.900391
153,9010.400391
154,9020
155,9064.299805
156,9127.900391
157,9053
158,9073
159,9176.299805
160,9329.900391
161,9385.299805
162,9431.400391
163,9441.700195
