Day,Adjusted price
1,7660.100098
2,7747.299805
3,7687.899902
4,7691.700195
5,7730
6,7754.399902
7,7691.399902
8,7493.5
9,7483.600098
10,7309.100098
11,7241.700195
12,7334.299805
13,7174.799805
14,7193
15,7320.899902
16,7343.299805
17,7386.299805
18,7477.200195
19,7414.600098
20,7506.700195
21,7374
22,7377
23,7320.399902
24,7318.5
25,7196.799805
26,7234
27,7184.399902
28,7278.799805
29,7411.100098
30,7572.299805
31,7554.100098
32,7580.700195
33,7580.600098
34,7742.600098
35,7794.100098
36,7887.200195
37,7938.399902
38,7876.899902
39,7731.200195
40,7762.600098
41,7934.600098
42,8000
43,8158.200195
44,8242.5
45,8266.099609
46,8377.599609
47,8421.5
48,8421
49,8302.700195
50,8351.900391
51,8483.700195
52,8515.799805
53,8274.099609
54,8354.5
55,8370.299805
56,8531.400391
57,8678.799805
58,8831.900391
59,8860.799805
60,8783.200195
61,8701.299805
62,8817.5
63,8619.700195
64,8519.900391
65,8604.799805
66,8745.900391
67,8936.5
68,9035.299805
69,9137.099609
70,9125.700195
71,9207.900391
72,9123.099609
73,9164.200195
74,9305.200195
75,9364.099609
76,9306.900391
77,9220.700195
78,9248.700195
79,9217
80,9093
81,9060.400391
82,9169.400391
83,9215.599609
84,9142.299805
85,9064.299805
86,8900
87,8982.5
88,9201.200195
89,9226.400391
90,9373.400391
91,9377.299805
92,9460.099609
93,9388.799805
94,9541.299805
95,9485.200195
96,9426.200195
97,9546.599609
98,9486.299805
99,9421
100,9318.900391
101,9323.700195
102,9186.099609
103,9141.299805
104,8849.5
105,8962.400391
106,8885.799805
107,8917.900391
108,8756.700195
109,8992.799805
110,9020.400391
111,9082.700195
112,9202.599609
113,9121
114,9226.599609
115,9295.900391
116,9373.700195
117,9523.299805
118,9401.200195
119,9431.099609
120,9236.900391
121,9167.599609
122,9270.099609
123,9181.200195
124,9170.799805
125,8880.5
126,9031.5
127,8918.400391
128,9135.099609
129,9169
130,9175.799805
131,9196
132,9173.299805
133,9031.799805
134,8919.5
135,8958.599609
136,9000.700195
137,9037.799805
138,9026.900391
139,9141.400391
140,9057.400391
141,8999.099609
142,9099.799805
143,9148.599609
144,9194.400391
145,9317.400391
146,9307.099609
147,9510.099609
148,9557.099609
149,9589.5
150,9630.400391
151,9689.099609
152,9726.400391
153,9603.5
154,9569.5
155,9568
156,9538.200195
157,9572.099609
158,9555.400391
159,9472.299805
160,9418.099609
161,9325.200195
162,9293.099609
163,9292.900391
164,9245.299805
165,9213.799805
166,9237.299805
167,9312.099609
168,9480.799805
169,9417.799805
170,9223.799805
171,9035.900391
172,9010.400391
173,9020
174,9064.299805
175,9127.900391
176,9053
177,9073
178,9176.299805
179,9329.900391
180,9385.299805
181,9431.400391
182,9441.700195
183,9387.900391
184,9359.200195
185,9226.900391
186,9344.400391
187,9479.799805
188,9598.700195
189,9612.200195
190,9665.299805
191,9774.700195
192,9786.400391
193,9774.700195
194,9865.299805
195,9854.400391
196,9941.599609
197,9879
198,9930
199,10008.5
200,10004.2002
201,10019.79981
202,9991.900391
203,10030.09961
204,10081.09961
205,10190.90039
206,10223.59961
207,10209.5
208,10186.09961
209,10165.29981
210,10309.5
211,10434
212,10420.09961
213,10379.5
214,10463.29981
215,10481.79981
216,10418.90039
217,10495.59961
218,10539.2002
219,10447.79981
220,10390.90039
221,10487.59961
222,10469.2002
223,10435.59961
224,10601.5
225,10690.09961
226,10470.09961
227,10299
228,10393
229,10366
230,10151.40039
231,9982.099609
232,9902.700195
233,9491.900391
234,10004.79981
235,9976.900391
236,10186.90039
237,10286
238,10022.90039
239,9932
240,9993.200195
241,9670.599609
242,9433.599609
243,9446.900391
244,9477.599609
245,9189.400391
246,9392.700195
247,9647.299805
248,9637.099609
249,9621.5
250,9660.400391
251,9801.200195
252,9599.900391
253,9477.700195
254,9356.200195
255,9487.200195
256,9609.700195
257,9662.599609
258,9795.400391
259,9880.299805
260,9860
261,9863.799805
262,9952.700195
263,9997.799805
264,9938.700195
265,9833.200195
266,9698.299805
267,9606.099609
268,9644.900391
269,9365.299805
270,9366.099609
271,9139.700195
272,9276.400391
273,9301.400391
274,9501.099609
275,9562.700195
276,9719.200195
277,9745.799805
278,9774.200195
279,9938.400391
280,9895.599609
281,9852.5
282,9775.299805
283,9726.5
284,9691.299805
285,9846.299805
286,10003.2002
287,10093.7002
288,10138.09961
289,10106.40039
290,10019.7002
291,10074.2002
292,9948.700195
293,10161.2002
294,10135.90039
295,10126.40039
296,10166.09961
297,10089.79981
298,10212.2002
299,10079.79981
300,9854.5
301,9788.299805
302,9782.299805
303,9774.200195
304,9911.900391
305,9886.799805
306,9835.099609
307,9761.200195
308,9826.200195
309,9700.900391
310,9623.599609
311,9677.900391
312,9779.900391
313,9825.099609
314,10060.90039
315,10141
316,10204.09961
317,10240.40039
318,10181.29981
319,10216.7002
320,10325.7002
321,10401.79981
322,10508.29981
323,10472.40039
324,10494.29981
325,10442.09961
326,10441
327,10548.2002
328,10545.09961
329,10448.29981
330,10426
331,10539
332,10562.7002
333,10552.40039
334,10562.5
335,10531.79981
336,10592.5
337,10563.79981
338,10682
339,10800.2002
340,10765.59961
341,10724.90039
342,10804.79981
343,10753.59961
344,10902
345,10882.7002
346,10833.5
347,10875.09961
348,10826.2002
349,10831.90039
350,10904.7002
351,10894.7002
352,10978.09961
353,10940.7002
354,10827.29981
355,10848.79981
356,10843.5
357,10875.29981
358,10927.5
359,10876.29981
360,11016.5
361,11080
362,11047.59961
363,11106.90039
364,10994.5
365,10899.09961
366,10866.5
367,10923.2002
368,10717.7002
369,10713.2002
370,10844.40039
371,10827.09961
372,10796.59961
373,10619.29981
374,10731.09961
375,10835
376,10809.40039
377,10689.59961
378,10607.79981
379,10809.29981
380,11076.79981
381,11082.2002
382,11151.40039
383,11299.40039
384,11218.7002
385,11263.40039
386,11281
387,11359.7002
388,11409.79981
389,11372.79981
390,11329
391,11426.79981
392,11433.09961
393,11506.7002
394,11550.2002
395,11569.2002
396,11492.90039
397,11628.90039
398,11569.40039
399,11558.79981
400,11722.59961
401,11741.59961
402,11716.90039
403,11674.40039
404,11575.29981
405,11735.29981
406,11765.29981
407,11767
408,11742.40039
409,11741.5
410,11830.29981
411,11728.2002
412,11505
413,11532.7002
414,11573.40039
415,11501.59961
416,11612.29981
417,11617.40039
418,11546
419,11471.5
420,11608.5
421,11606.7002
422,11575.79981
423,11666.5
424,11811.09961
425,11830.5
426,11796.59961
427,11721.59961
428,11797.79981
429,11833.90039
430,11749.7002
431,11807.29981
432,11827.79981
433,11828.29981
434,11727.7002
435,11652.40039
436,11521.90039
437,11409.7002
438,11609
439,11621.29981
440,11574.09961
441,11543.40039
442,11652.40039
443,11723
444,11747.90039
445,11743.5
446,11730.2002
447,11515.59961
448,11409.5
449,11349.7002
450,11151.2002
451,11033.09961
452,11236.40039
453,11345.79981
454,11511.2002
455,11441.59961
456,11447.40039
