Day,Adjusted price
1,14669.79981
2,14426.7002
3,14480.09961
4,14757.59961
5,14756
6,15025
7,15170.09961
8,15136
9,15089.59961
10,15040.40039
11,15123.40039
12,15234.09961
13,15298.29981
14,15501.40039
15,15453.2002
16,15394.09961
17,15526.29981
18,15515.09961
19,15464.5
20,15596.2002
21,15630.7002
22,15604.29981
23,15631.90039
24,15644.09961
25,15648.59961
26,15699.40039
27,15601.90039
28,15604.5
29,15691.59961
30,15710.09961
31,15831.59961
32,15788.40039
33,15889.7002
34,15851.79981
35,15719.79981
36,15833
37,15811.59961
38,15840.5
39,16002.90039
40,15952.5
41,15714.29981
42,15737.5
43,15663.5
44,15377.09961
45,15233.90039
46,15426.79981
47,15444
48,15732.7002
49,15888.90039
50,15991.5
51,16094.2002
52,16050.7002
53,15990.29981
54,16052
55,15921.7002
56,15778.7002
57,15851.7002
58,16085.5
59,16011
60,15943.7002
61,16085
62,15872.09961
63,15915.29981
64,15922.5
65,16067.2002
66,16126.59961
67,16253.29981
68,16378.90039
69,16458.90039
70,16470.5
71,16353.90039
72,16425.69922
73,16359
74,16305.79981
75,16355.59961
76,16570.30078
77,16571.59961
78,16695
79,16685.59961
80,16579.19922
81,16658.69922
82,16632.59961
83,16809.40039
84,16847.80078
85,16861.19922
86,16887.69922
87,17002.09961
88,17049.80078
89,17122.59961
90,17168
91,17201.90039
92,17188.30078
93,17249.80078
94,17273.80078
95,17249.90039
96,17146
97,17135.69922
98,17310.30078
99,17272.19922
100,17167.09961
101,16922.5
102,16948.90039
103,17061.09961
104,17109.5
105,17201
106,17202.90039
107,17363.69922
108,17438.19922
109,17537.59961
110,17551.19922
111,17579.19922
112,17502.30078
113,17260.59961
114,17162.59961
115,17208.09961
116,17090.59961
117,17123.40039
118,17268.80078
119,17521.5
120,17561.5
121,17715.5
122,17875.09961
123,17829.80078
124,17858.80078
125,17873.5
126,17730.30078
127,17572.40039
128,17603.5
129,17712.59961
130,17635.59961
131,17684.69922
132,17729.40039
133,17784.69922
134,17659.40039
135,17481.19922
136,17474.59961
137,17468.30078
138,17452.09961
139,17412.09961
140,17448
141,17935.90039
142,17870.59961
143,17689.19922
144,17861.5
145,17929.30078
146,18020.40039
147,18022.19922
148,18176.09961
149,18135.5
150,18154.59961
151,18192.69922
152,18098.80078
153,18237.5
154,18237
155,18154.40039
156,18220.19922
157,18220.30078
158,18263.5
159,18090.40039
160,17931.30078
161,17878.40039
162,17839.80078
163,18030.09961
164,18089.5
165,17949.09961
166,17728.69922
167,17736.19922
168,17706.19922
169,17678.90039
170,17705
171,17906.30078
172,17997.59961
173,17924.80078
174,17944.90039
175,17822.30078
176,17534.69922
177,17531.5
178,17717.09961
179,17686
180,17613.5
181,17443.30078
182,17212.90039
183,17112.90039
184,17296
185,17486.30078
